"Freq [thz]","dB(St(P1,P1)) []"
0.001,-0.000679806206975604
1.001,-0.33403751689566
2.001,-1.14246666412343
3.001,-2.0252277500307
4.001,-2.78000217073683
5.001,-3.45026638429318
6.001,-4.10165057114554
7.001,-4.76239659095924
8.001,-5.43946315373124
9.001,-6.13188735767197
10.001,-6.83651207188577
11.001,-7.55013867800345
12.001,-8.27025138101585
13.001,-8.99517822820984
14.001,-9.72403479043924
15.001,-10.4565935068785
16.001,-11.1931387281954
17.001,-11.9343318523662
18.001,-12.6810951517972
19.001,-13.4345158373649
20.001,-14.1957687878756
21.001,-14.9660549839145
22.001,-15.7465519519607
23.001,-16.5383718880396
24.001,-17.3425222467694
25.001,-18.1598621663791
26.001,-18.9910458209155
27.001,-19.8364401774595
28.001,-20.6959989896861
29.001,-21.5690661686491
30.001,-22.4540686052843
31.001,-23.3480396973871
32.001,-24.2458899476065
33.001,-25.1393140923515
34.001,-26.0152117083644
35.001,-26.8535446248883
36.001,-27.6247497429521
37.001,-28.2872624847661
38.001,-28.7860580034075
39.001,-29.050724574794
40.001,-28.9813696323653
41.001,-28.4312941916857
42.001,-27.2261205496492
43.001,-24.9786887463514
44.001,-20.1793808613652
45.001,-11.8292388140593
46.001,-25.7772426916572
47.001,-20.2315076444325
48.001,-30.4175568134014
49.001,-17.6463018974104
50.001,-13.9958188744765
51.001,-14.7061561116113
52.001,-18.7095044435067
53.001,-16.6908248367053
54.001,-17.9121484094642
55.001,-21.3084845030747
56.001,-25.6069160555662
57.001,-30.703497800968
58.001,-37.4560983155222
59.001,-45.6321968953929
60.001,-39.9581115749982
61.001,-35.5439727958317
62.001,-32.9311888612711
63.001,-31.1438049407621
64.001,-29.8024662496367
65.001,-28.7320872658539
66.001,-27.840123548072
67.001,-27.0728020916651
68.001,-26.3966443950913
69.001,-25.7896779918955
70.001,-25.2368650348132
71.001,-24.7275542105433
72.001,-24.2539801827407
73.001,-23.8103394456109
74.001,-23.3921995827527
75.001,-22.9961095720424
76.001,-22.6193356771728
77.001,-22.2596782029155
78.001,-21.9153417067663
79.001,-21.5848413749681
80.001,-21.2669343702192
81.001,-20.9605687401994
82.001,-20.6648448797423
83.001,-20.3789861014773
84.001,-20.1023159052129
85.001,-19.8342402352162
86.001,-19.5742334940545
87.001,-19.3218274156152
88.001,-19.076602135712
89.001,-18.8381789672887
90.001,-18.6062145092027
91.001,-18.3803958067742
92.001,-18.1604363481779
93.001,-17.9460727298936
94.001,-17.7370618613963
95.001,-17.5331786073065
96.001,-17.3342137866551
97.001,-17.1399724654249
98.001,-16.9502724913312
99.001,-16.7649432297942
